               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0. 5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.068002,           0.0019773,           0.0050697,             0.59361,             0.48113,              0.4949,              0.3032,            0.057824,           0.0017866,           0.0052837,           0.0019438,           0.0019438,           0.0019438
                 151,            0.067903,           0.0019776,           0.0050526,             0.59957,             0.47732,             0.49481,             0.30331,             0.05782,           0.0017862,           0.0052846,             0.00193,             0.00193,             0.00193
                 152,            0.067898,           0.0019792,           0.0050543,             0.62069,               0.467,              0.4949,              0.3032,            0.057821,           0.0017861,           0.0052876,           0.0019162,           0.0019162,           0.0019162
                 153,            0.067855,           0.0019627,            0.005038,             0.62508,              0.4651,              0.4952,             0.30355,            0.057816,           0.0017854,           0.0052889,           0.0019025,           0.0019025,           0.0019025
                 154,            0.067651,           0.0019718,           0.0050417,             0.63159,             0.46167,             0.49516,             0.30369,            0.057812,           0.0017851,           0.0052907,           0.0018887,           0.0018887,           0.0018887
                 155,            0.067823,           0.0019786,           0.0050205,             0.62308,             0.46615,             0.49511,             0.30366,            0.057801,           0.0017848,           0.0052928,           0.0018749,           0.0018749,           0.0018749
                 156,            0.067726,           0.0019744,           0.0050158,             0.62354,             0.46575,             0.49535,             0.30361,            0.057793,           0.0017844,           0.0052941,           0.0018611,           0.0018611,           0.0018611
                 157,            0.067746,           0.0019614,           0.0050065,             0.62176,             0.46637,             0.49522,             0.30354,            0.057787,           0.0017844,           0.0052975,           0.0018473,           0.0018473,           0.0018473
                 158,            0.067844,           0.0019794,            0.005042,             0.59226,             0.48281,             0.49508,             0.30352,            0.057781,           0.0017842,           0.0052976,           0.0018335,           0.0018335,           0.0018335
                 159,            0.067893,           0.0019761,               0.005,             0.61139,             0.47151,             0.49524,             0.30378,             0.05778,            0.001784,           0.0052975,           0.0018196,           0.0018196,           0.0018196
                 160,            0.067917,           0.0019775,           0.0050239,             0.59987,             0.47769,              0.4952,             0.30371,            0.057779,           0.0017842,           0.0052972,           0.0018058,           0.0018058,           0.0018058
                 161,            0.067445,           0.0019592,            0.004985,              0.6013,             0.47635,             0.49522,             0.30369,            0.057772,           0.0017841,           0.0052968,            0.001792,            0.001792,            0.001792
                 162,            0.067548,           0.0019608,           0.0049951,             0.60828,             0.47232,              0.4951,             0.30392,             0.05777,           0.0017841,           0.0052974,           0.0017782,           0.0017782,           0.0017782
                 163,            0.067471,           0.0019638,           0.0049853,             0.60514,             0.47445,             0.49492,             0.30375,            0.057774,           0.0017842,           0.0053004,           0.0017644,           0.0017644,           0.0017644
                 164,            0.067575,           0.0019767,           0.0049709,             0.61829,             0.46744,             0.49484,             0.30363,            0.057781,           0.0017844,           0.0053025,           0.0017505,           0.0017505,           0.0017505
